ax_mean,ax_std,ay_mean,ay_std,az_mean,az_std,gx_mean,gx_std,gy_mean,gy_std,gz_mean,gz_std,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std,posture,activity
0.8573079999999998,0.4470957386637823,-0.10575499999999999,0.2801917036295477,0.43134600000000006,0.31079932121007997,1.1004670000000008,60.593896355709596,2.3291000000000004,40.0392760528,6.170044000000001,29.09060355283031,1.0442294917224202,0.46390252101837975,66.68441659447781,40.9201070223853,good,jogging
0.851191,0.4967504930469866,-0.08073200000000001,0.28343277038707587,0.43923900000000005,0.33063186183366533,-5.115964000000001,63.3024263704047,-0.294186,36.4452203800153,4.626463,32.812699409744916,1.0420466566597406,0.5223895449866607,68.48838148793683,41.49977077255583,good,jogging
0.8650950000000001,0.5190539111711039,-0.06497100000000001,0.29073167201063765,0.465545,0.2400994391534853,6.113281000000001,59.32905516037456,-2.0935,33.06756206997909,1.7999260000000001,30.917269999901215,1.0534688692627854,0.5193428158723002,67.24671983362416,32.3562649619145,good,jogging
0.8282560000000001,0.5040350433383886,-0.125999,0.2810622643892922,0.4534649999999999,0.2192525218978926,7.3614510000000015,58.47670857159776,-0.01586299999999987,34.92174296095255,8.474732,30.230510547738774,1.0189833288084313,0.4989838474445785,67.40474619822334,33.02922575160066,good,jogging
0.8508880000000001,0.49843649206515994,-0.086291,0.27738581783931177,0.46627700000000005,0.22683655926056479,9.069825000000002,55.89587065808466,1.5100119999999995,30.247403572712845,11.856075,28.309517110683384,1.0354892989720677,0.5022182755307766,62.990316966103194,32.56080648643583,good,jogging
0.8816640000000001,0.4728652037453499,-0.10132199999999997,0.27594614559490926,0.44650999999999996,0.21394076802288575,41.312259000000005,53.85684056265021,-1.6149859999999996,24.70628711556987,25.079958999999995,28.07254781388119,1.042078629259711,0.49553981507386,72.29613912618959,37.1676667231951,good,jogging
0.8488840000000001,0.46310472335306524,-0.185582,0.2927188030388981,0.4274909999999999,0.30830126158999055,54.893190999999995,54.47510105040779,-3.7622040000000005,29.978418334336265,30.503549,29.408788173823606,1.0254215250482497,0.5294860535240624,84.1860153956748,39.62457331646517,good,jogging
0.857644,0.4757301903432663,-0.17941400000000002,0.2949776923666253,0.454992,0.3367865105266648,25.166019000000002,67.93490108691279,-2.2729500000000007,35.304465682012875,18.43384,34.09174320735391,1.0523178447406307,0.5411138273803919,79.42489390437834,40.49632115421346,good,jogging
0.8465440000000001,0.511953560930574,-0.10363099999999999,0.2809086291273051,0.47461499999999995,0.3017580298195991,-3.2098350000000004,71.17209111622644,-1.270141999999999,35.91062803307307,5.448606,35.10051025091674,1.040829263006801,0.5477717456404066,75.50553185577553,43.248553331481794,good,jogging
0.8414619999999999,0.5051277827691252,-0.040607000000000004,0.27155385099627866,0.46239199999999997,0.2598536346686439,-6.428831999999997,61.46053976691535,-1.641846,32.801052978763344,-1.838377,32.379686739872795,1.0224024335033877,0.5228729291778468,66.69198549630532,38.16918566084456,good,jogging
