timestamp,ax,ay,az,gx,gy,gz
4124851,1.1636,-0.3594,0.6954,70.5566,-7.8125,58.8989
4124871,1.0089,-0.3435,0.6215,59.4482,12.8784,72.0215
4124891,0.7235,-0.3416,0.4685,52.3071,17.9443,75.8057
4124911,0.6028,-0.369,0.4207,41.626,24.4751,73.8525
4124931,0.4905,-0.333,0.3688,33.8745,17.2729,70.0073
4124951,0.381,-0.2947,0.344,28.3203,10.498,65.4907
4124974,0.1949,-0.3298,0.3302,35.5835,-30.1514,58.7158
4124994,0.0747,-0.3575,0.2213,42.1753,-51.0254,46.1426
4125014,-0.0011,-0.255,0.3009,33.3862,-34.5459,20.813
4125035,-0.0167,-0.1272,0.3937,22.7661,-37.4146,13.1226
4125055,-0.0884,-0.2207,0.1752,-48.2788,16.2354,11.4746
4125075,0.3933,-0.4762,0.0768,-134.5825,42.1143,5.7983
4125095,1.9736,-0.1151,1.5052,-306.3965,106.9336,-26.6724
4125115,0.7704,0.3602,0.7731,-24.7803,53.5889,-34.668
4125135,1.2076,0.0753,0.9196,-51.6968,17.334,5.6152
4125155,0.7229,0.1115,0.5944,-76.9653,-4.5776,-13.1836
4125175,1.5134,-0.1467,0.9388,-101.9287,81.7871,7.7515
4125195,1.4646,0.104,0.7024,-76.0498,-52.124,-39.3677
4125215,1.3834,0.0911,0.7283,-68.8477,-49.1943,-36.2549
4125235,1.3375,0.2159,0.5902,-53.894,-36.8042,-46.0205
4125255,1.2223,0.2377,0.4988,-50.0488,-12.8784,-45.7764
4125275,0.9932,0.2611,0.4813,-47.3633,-11.9019,-47.7295
4125295,0.7595,0.2596,0.476,-29.48,-11.1084,-50.0488
4125315,0.5975,0.228,0.4979,-12.6343,-4.5776,-51.6357
4125335,0.4677,0.2156,0.3889,-2.4414,-14.5874,-46.9971
4125355,0.1891,0.2252,0.3369,26.3672,-38.208,-40.7715
4125375,0.1705,0.2878,0.3522,52.063,-42.0532,-40.9546
4125395,0.1055,0.3112,0.0703,72.4487,-40.7104,-25.4517
4125415,0.0165,0.3015,0.1293,57.6782,-35.9497,-9.7046
4125435,0.0804,0.2316,0.1792,54.6265,-16.7236,0.7935
4125455,0.0781,0.0702,0.5039,48.8281,43.7622,9.2773
4125477,2.2238,-0.2356,1.261,25.6348,95.8252,2.6855
4125497,0.7992,-0.5162,0.8672,56.5186,27.4048,50.5371
4125517,1.1204,-0.2565,0.8057,82.3975,-25.3296,33.3862
4125537,1.0056,-0.4015,0.6954,94.1772,-36.7432,39.978
4125557,0.7891,-0.4492,0.6875,115.7227,-35.5835,48.5229
4125577,1.3511,-0.3486,0.7861,116.5771,-1.4038,62.3169
4125597,1.4191,-0.4753,0.7772,110.5957,-29.8462,77.8809
4125619,1.1564,-0.5911,0.6654,107.7271,-31.1279,84.4116
4125640,0.9926,-0.5197,0.5565,103.3325,-8.728,90.5762
4125660,0.8831,-0.4741,0.501,93.5059,2.9297,96.6797
4125680,0.7594,-0.4266,0.4595,84.7778,8.4229,97.9004
4125702,0.623,-0.442,0.4176,75.2563,6.7749,95.0928
4125722,0.4447,-0.4264,0.3473,63.3545,-4.6387,87.7075
4125742,0.3912,-0.4138,0.2872,59.8145,-10.9253,81.2988
4125762,0.3387,-0.3361,0.2214,68.7256,-25.4517,70.8618
4125782,0.3435,-0.3252,0.2142,75.5615,-37.7197,62.0117
4125802,0.1201,-0.397,0.2595,64.6973,-41.5649,47.2412
4125822,0.0006,-0.2753,0.2251,31.8604,-28.6865,41.8091
4125842,-0.1818,-0.2841,0.3002,-43.2739,-14.2212,37.7808
4125862,-0.011,-0.3898,0.3777,-97.4121,12.6343,29.6021
4125882,1.0211,-0.4294,0.0896,-307.8613,82.8247,5.0659
4125902,1.4608,0.76,1.2412,-69.7632,56.0303,-34.4849
4125922,0.432,-0.014,0.8925,-71.6553,15.1367,25.0854
4125942,0.9891,0.1024,0.6312,-82.5195,-13.6719,-4.7607
4125964,0.8647,0.2921,0.7218,-94.7266,43.8843,-8.1177
4125984,1.4943,0.1123,0.7056,-84.1064,-50.293,-32.8369
4126005,1.3589,0.1738,0.8004,-78.3081,-41.4429,-41.4429
4126026,1.3175,0.222,0.6704,-56.3965,-29.2969,-40.1001
4126046,1.2983,0.2865,0.6294,-55.6641,-5.7373,-44.8608
4126066,1.2574,0.285,0.5764,-63.0493,2.6245,-46.0205
4126086,1.0183,0.2815,0.4692,-56.5796,7.8735,-47.9126
4126106,0.7296,0.2518,0.3833,-38.0249,13.1836,-49.3164
4126126,0.645,0.2115,0.2981,-21.2402,5.0049,-51.4526
4126150,0.4297,0.2244,0.1768,7.8735,-14.4653,-51.2085
4126170,0.345,0.2744,0.1666,45.8984,-17.0898,-51.0254
4126192,0.371,0.1912,0.12,52.9785,-21.3623,-55.542
4126212,0.1285,0.1975,0.0592,72.3877,-35.2173,-53.0396
4126232,0.0259,0.2614,0.1929,77.2705,-54.6265,-42.1753
4126252,0.0947,0.1082,0.3715,58.4106,-34.9121,-17.1509
4126272,0.8759,0.1129,0.407,35.0952,-3.54,-4.8828
4126292,1.8955,-0.3993,1.4873,76.4771,76.4771,11.9629
4126312,0.9849,-0.2161,0.877,80.9937,30.5786,34.9731
4126332,1.1051,-0.3378,0.6708,83.6792,-25.2075,41.1987
4126352,0.804,-0.5267,0.7687,87.4023,-69.397,49.9268
4126373,0.8936,-0.5836,0.8057,98.0225,-77.0874,54.1992
4126393,1.3258,-0.3351,0.8837,110.5957,-30.2734,54.3213
4126413,1.2362,-0.4962,0.787,100.9521,-34.6069,77.9419
4126433,1.1711,-0.5342,0.7501,98.4497,-21.3013,83.313
4126453,1.0718,-0.5492,0.6354,90.6982,-7.2632,84.9609
4126473,0.9362,-0.4905,0.5829,84.1064,2.8687,85.083
4126493,0.6749,-0.3843,0.4847,76.4771,8.3008,83.9233
4126513,0.5333,-0.3677,0.4565,74.2188,6.7749,80.4443
4126533,0.4167,-0.3726,0.3979,75.5615,4.8218,74.3408
4126553,0.265,-0.2804,0.3069,67.8101,0.6714,71.8994
4126573,0.3223,-0.2499,0.3013,66.8335,-18.8599,73.7915
4126593,0.2509,-0.3441,0.1718,58.6548,-29.7852,55.1147
4126613,0.0201,-0.4727,0.2081,41.687,-23.8037,36.3159
4126634,-0.0121,-0.3146,0.1915,-4.2114,-18.5547,27.9541
4126654,-0.0272,-0.2203,0.5045,-60.2417,7.7515,20.4468
4126695,3.9417,1.0673,2.0651,-348.877,85.2661,18.3716
4126717,-0.3318,-0.198,0.6677,-95.1538,6.4087,2.1362
4126737,1.2455,-0.0068,0.8212,-99.9146,37.3535,4.6997
4126757,0.6134,0.3179,0.7267,-95.8862,28.8696,-19.104
4126777,1.402,0.0262,0.8409,-105.1636,9.2773,-28.5645
4126817,1.3817,0.2753,0.7593,-78.8574,-22.7661,-51.3916
4126837,1.4092,0.3134,0.6412,-64.6973,-1.9531,-56.3354
4126861,1.3096,0.2329,0.5214,-72.4487,21.3013,-62.561
4126884,1.1305,0.2501,0.4274,-70.9229,31.4941,-71.4111
4126905,0.8398,0.2037,0.3099,-58.5327,35.0342,-70.7397
4126925,0.7625,0.1782,0.2898,-41.1377,28.6255,-70.0073
4126945,0.6591,0.316,0.2616,-5.9814,5.9814,-64.7583
4126965,0.4779,0.3152,0.22,9.8877,-21.3013,-53.4058
4126985,0.3602,0.225,0.1772,53.2837,-43.6401,-56.0913
