timestamp,ax,ay,az,gx,gy,gz
1779363,0.7539,0.0099,0.6193,0.1831,-1.2207,1.3428
1779383,0.7565,0.0157,0.6179,0.061,-0.9766,1.4038
1779403,0.7574,0.0206,0.6161,0.1831,-0.9766,1.2207
1779423,0.7639,0.0194,0.6063,0.1221,0.1831,1.0376
1779443,0.77,0.0182,0.6021,0.3052,0.6104,0.9155
1779463,0.7795,0.016,0.5955,0.3052,1.0986,0.7935
1779483,0.7855,0.0165,0.5942,0.3052,0.7324,0.4272
1779503,0.7863,0.0161,0.5856,0.4272,-0.4272,0.1831
1779523,0.7878,0.0109,0.5784,0.7935,-0.7324,0.061
1779543,0.801,-0.0039,0.5659,0.5493,0.1831,-0.2441
1779563,0.8174,-0.001,0.5656,0.4883,1.2817,-0.7324
1779583,0.8252,0.0056,0.5721,0.0,-0.7935,-0.8545
1779605,0.8215,0.0131,0.5793,-0.061,-2.8687,-0.6104
1779625,0.808,0.0151,0.5864,0.2441,-6.5308,0.4272
1779645,0.7872,0.0184,0.6019,0.3052,-8.2397,1.3428
1779668,0.7563,0.0311,0.6224,0.4883,-10.2539,2.1362
1779688,0.74,0.035,0.6273,1.0986,-11.1694,2.3193
1779708,0.7217,0.0299,0.6313,1.709,-10.7422,2.1973
1779728,0.7205,0.0265,0.6327,2.2583,-8.2397,2.0142
1779748,0.7218,0.0237,0.6356,2.3804,-6.5308,1.6479
1779768,0.7262,0.0227,0.6377,2.7466,-6.4697,1.2207
1779788,0.7299,0.0187,0.6415,2.3193,-6.1035,0.9766
1779808,0.7349,0.0143,0.6462,2.3193,-4.6997,0.6104
1779828,0.7343,0.0098,0.6539,2.3193,-4.5776,0.6714
1779848,0.7303,0.0079,0.6587,1.9531,-5.9204,0.3052
1779868,0.717,0.0083,0.6626,1.5869,-4.0283,0.4272
1779891,0.7189,0.0076,0.6569,1.5869,-2.3193,0.5493
1779911,0.7212,0.0099,0.6537,1.0986,-1.2207,0.6104
1779932,0.7217,0.0068,0.652,0.9155,-0.8545,0.2441
1779952,0.7225,0.009,0.6465,0.1831,-0.061,0.0
1779972,0.7245,0.0079,0.6438,-0.4883,1.2207,-0.6714
1779992,0.7322,0.0098,0.6418,-0.4883,1.8921,-0.7324
1780012,0.7429,0.0173,0.6394,-0.1221,2.3804,-0.9766
1780032,0.746,0.0212,0.6392,0.5493,1.8311,-0.7324
1780052,0.7466,0.0221,0.6376,1.0376,1.77,-0.4883
1780072,0.7499,0.0126,0.6313,1.5259,1.5259,-0.061
1780096,0.7518,0.0121,0.6305,1.4038,1.8921,0.1831
1780116,0.7548,0.0131,0.6301,1.5259,1.4648,-0.1221
1780136,0.7559,0.01,0.6254,1.5259,0.9766,0.1221
1780157,0.7554,0.007,0.6224,1.77,0.7935,0.2441
1780177,0.7546,0.0071,0.6233,1.4648,0.1831,0.3052
1780198,0.7517,0.0063,0.6249,1.3428,0.1831,0.4272
1780218,0.7534,0.0068,0.6254,0.7324,-0.3662,0.6714
1780238,0.7517,0.0092,0.6262,0.3662,-0.4883,0.6714
1780258,0.7504,0.0114,0.6251,0.3052,-0.4883,0.4272
1780278,0.7515,0.0066,0.6263,0.4272,-0.2441,0.1831
1780298,0.749,0.0066,0.6294,0.4883,0.5493,0.1221
1780318,0.7427,0.0181,0.6409,0.6714,0.3052,-0.1221
1780338,0.7318,0.0327,0.6497,1.5869,0.7935,0.3662
1780358,0.728,0.0453,0.6458,2.7466,1.709,0.9766
1780381,0.7299,0.0338,0.6372,4.8828,2.8687,1.709
1780401,0.7357,0.0187,0.6327,5.4321,4.1504,1.8311
1780421,0.7642,0.0015,0.6238,4.6387,5.9814,1.2817
1780441,0.7676,-0.0039,0.6233,5.0049,2.2583,0.0
1780462,0.7633,-0.0068,0.623,5.0659,2.1973,0.9766
1780482,0.7549,-0.0042,0.6194,5.188,-0.1221,1.2817
1780502,0.7482,-0.0061,0.6235,4.0894,-0.3662,1.0376
1780522,0.7427,-0.0068,0.6234,3.3569,1.0986,1.3428
1780542,0.7473,-0.0033,0.6259,2.0142,2.3193,0.5493
1780563,0.751,-0.0007,0.6239,1.2817,2.8687,0.061
1780583,0.756,0.0022,0.6183,0.9155,3.0518,-0.2441
1780603,0.7609,-0.0009,0.6147,0.1221,2.9297,-0.3662
1780623,0.7649,-0.0066,0.6088,-0.8545,2.8687,-0.2441
1780643,0.7692,-0.0128,0.6047,-1.5259,2.5635,-0.3662
1780703,0.7788,0.0012,0.606,-3.54,0.7935,-0.6714
1780723,0.7788,0.0118,0.6033,-3.6011,0.3052,-0.5493
1780743,0.776,0.0083,0.6016,-3.3569,-0.5493,-0.1221
1780763,0.7734,0.0044,0.6025,-3.479,-0.7935,0.3052
1780783,0.7678,0.0035,0.6051,-3.6011,-1.4038,0.9155
1780803,0.7642,0.0078,0.6058,-3.6621,-1.3428,1.8311
1780823,0.7637,0.0183,0.6133,-2.9297,-1.0376,2.2583
1780843,0.7627,0.0254,0.6139,-1.0986,-0.9155,2.7466
1780863,0.7631,0.0297,0.6094,0.061,-1.4038,3.2349
1780885,0.7651,0.0289,0.6107,1.0376,-1.8921,3.6621
1780905,0.7682,0.0342,0.6136,1.8311,-1.8921,3.6011
1780925,0.7712,0.0361,0.6127,2.1973,-1.9531,3.2349
1780945,0.7631,0.0315,0.619,2.8076,-2.4414,2.7466
1780965,0.7548,0.0284,0.6263,3.7842,-0.7935,2.7466
1780985,0.755,0.0194,0.6184,4.5166,-0.7935,3.0518
1781009,0.751,0.0056,0.6132,3.6011,-1.2817,3.1738
1781029,0.752,0.0009,0.6122,2.5635,-1.6479,2.9907
1781049,0.7468,0.0039,0.6167,2.2583,-2.1362,2.3193
1781069,0.7484,0.0134,0.6161,1.6479,-0.9155,1.77
1781092,0.7504,0.017,0.6217,1.4648,-0.6714,0.7324
1781112,0.7488,0.0144,0.6224,1.1597,-0.6104,0.6714
1781132,0.7484,0.0142,0.6262,0.4883,-0.3052,0.6714
1781152,0.749,0.0168,0.6271,0.1221,0.1831,0.6714
1781172,0.7527,0.0204,0.627,-0.4883,0.2441,0.061
1781193,0.7534,0.0189,0.6279,-0.6714,0.6104,-0.4883
1781213,0.7562,0.025,0.627,-1.2207,0.8545,-1.3428
1781233,0.7571,0.0217,0.6259,-1.1597,1.5869,-2.0142
1781253,0.7593,0.0145,0.6273,-1.2817,1.9531,-2.1362
1781273,0.7672,0.0112,0.6163,-1.8921,2.1362,-2.5024
1781293,0.7656,0.0101,0.6071,-2.5024,1.4648,-2.6855
1781313,0.7612,0.006,0.6063,-3.1128,1.77,-2.6245
1781333,0.7617,0.0133,0.6079,-3.418,1.9531,-2.3804
1781356,0.7683,0.0254,0.6061,-3.54,1.6479,-2.0752
1781376,0.7736,0.0303,0.6033,-2.9297,0.9766,-1.6479
1781396,0.7694,0.0339,0.6033,-2.0142,-0.1221,-1.0376
1781419,0.7771,0.0372,0.6046,-1.4038,1.8311,-0.3662
1781440,0.7761,0.0378,0.6072,0.061,-1.6479,0.1221
1781460,0.7712,0.0392,0.6116,0.9155,-0.9155,1.4038
1781480,0.7767,0.0387,0.611,1.77,-0.9155,1.8921
1781503,0.774,0.0291,0.6083,3.54,-1.77,2.1362
1781523,0.7659,0.024,0.6083,4.7607,-5.249,1.8921
1781543,0.752,0.017,0.6066,5.127,-1.8311,2.5024
1781563,0.7559,0.0162,0.606,5.127,-2.9297,2.4414
1781583,0.746,0.0177,0.6095,5.3711,-5.4321,2.5024
1781603,0.746,0.0167,0.6097,4.7607,-1.8311,3.418
1781623,0.7461,0.015,0.6134,4.1504,-0.9155,3.7842
1781643,0.757,0.0134,0.6151,3.9673,-0.9766,3.1738
1781663,0.7546,0.0125,0.6213,4.0283,-2.6855,3.418
1781683,0.765,0.0111,0.6238,2.6245,-0.061,3.9062
1781704,0.7668,0.0112,0.6245,2.3804,-0.7935,3.7842
1781726,0.7662,0.0157,0.6215,1.9531,-1.0986,3.479
1781746,0.7615,0.0171,0.6182,1.709,-1.4648,2.5635
1781766,0.7561,0.0176,0.6193,1.1597,-1.5259,1.6479
1781790,0.7566,0.0161,0.6138,0.6104,-1.1597,0.7935
1781811,0.7596,0.0132,0.6155,0.061,-1.0986,0.4272
1781831,0.7617,0.0132,0.6177,-0.4883,-1.77,-0.3052
1781851,0.7642,0.0146,0.6193,-0.8545,-3.0518,-1.0376
1781871,0.7512,0.0176,0.627,-1.0986,-5.0049,-0.9155
1781891,0.7513,0.0247,0.6298,-1.9531,-2.5635,-1.4648
1781912,0.7452,0.0243,0.6298,-1.5869,-2.5635,-1.6479
1781932,0.7415,0.0242,0.6333,-1.5869,-1.4038,-1.9531
1781952,0.7501,0.0267,0.6367,-1.2817,-0.4883,-2.2583
1781972,0.7563,0.0273,0.6294,-0.8545,0.0,-2.5635
1781992,0.7561,0.0248,0.6226,0.0,-0.4272,-2.5635
1782012,0.7511,0.0244,0.6191,-0.061,-0.4883,-2.2583
1782032,0.7511,0.0212,0.6174,0.3662,-0.6714,-2.0142
1782052,0.752,0.0146,0.6178,0.6104,-0.8545,-1.6479
1782072,0.7551,0.0099,0.6206,0.7324,-1.4038,-1.0376
1782092,0.7576,0.0164,0.6184,0.3052,-1.6479,-0.6714
1782112,0.7511,0.0181,0.6228,0.7324,-2.2583,-0.1221
1782132,0.7445,0.0199,0.6268,0.9155,-2.0142,0.3052
1782152,0.7516,0.0203,0.6271,1.2207,-1.77,0.4883
1782172,0.7518,0.0205,0.6295,1.5869,-1.4648,0.6104
1782192,0.7552,0.0212,0.6292,1.77,-1.5259,0.5493
